diam.,#1,#2,#3,#4,#5,#6,#7
6,,,,,,,
8,0,0.34965035,,,0.267379679,0,0
10,1.713395639,1.748251748,0,,0.802139037,1.268498943,1.477832512
12,25.70093458,23.6013986,1.960784314,0.894854586,18.18181818,5.073995772,12.06896552
14,46.8847352,42.83216783,24.18300654,22.5950783,42.2459893,43.12896406,45.56650246
16,14.48598131,18.35664336,33.33333333,34.00447427,17.64705882,26.84989429,21.18226601
18,2.336448598,4.370629371,20.91503268,18.56823266,3.20855615,6.553911205,3.694581281
20,1.869158879,1.748251748,5.22875817,4.474272931,3.20855615,ameter,2.216748768
22,2.959501558,2.272727273,3.267973856,3.355704698,4.010695187,4.016913319,2.709359606
24,2.180685358,2.972027972,3.267973856,3.355704698,4.278074866,4.22832981,4.433497537
26,0.46728972,1.048951049,3.267973856,3.131991051,2.139037433,3.594080338,1.477832512
28,0.46728972,0.174825175,1.960784314,3.803131991,0.802139037,1.268498943,1.231527094
30,0.31152648,0.174825175,0.653594771,2.684563758,0,1.057082452,1.477832512
32,0.15576324,0.34965035,0.653594771,1.118568233,0.802139037,0,0.492610837
34,0.31152648,,0.653594771,0.223713647,1.069518717,0.21141649,0.738916256
36,0.15576324,,0,0.223713647,0.267379679,0,0.738916256
38,0,,0.653594771,0.894854586,0.267379679,0.422832981,0.246305419
40,,,,0.223713647,0,0.21141649,0
42,,,,0.223713647,0.267379679,0,0
44,,,,0,0.267379679,,0
46,,,,0,0.267379679,,0.246305419
48,,,,0,,,
50,,,,0,,,
52,,,,0.223713647,,,
