diameter,Small,Giant
19.934,-3.347584904,
20.8943,-8.622718649,
16.85182,-13.62913283,
14.071,-4.624559839,
16.433,-3.368601577,
19.844,-2.473515853,
17.9522,-0.700467305,
17.721,-3.403680904,
16.277,-8.081738107,
18.981,-2.204111686,
17.422,-1.739997861,
16.685,-4.325229566,
14.259,-4.546173557,
27.149,,-3.789570708
28.3176,-2.891234114,
12.851,-9.360658516,
13.8285,-2.241084127,
27.809,-5.266269105,
34.1706,,-7.220043136
38.0734,,-18.04674535
48.668035,,-13.02961995
46.63501,,-19.74105237
32.304,,-14.41853698
23.668,-5.525686778,
33.6962,,-14.95572702
33.1477,,-4.580759988
28.24131,-2.585610736,
35.80238,,-3.935570149
17.200437,-6.701850582,
42.2075,,-4.615291882
20.675819,-3.671789388,
33.486228,,-10.93109472
32.1488,,-9.099827111
63.418072,,-4.833460634
40.8927,,-7.265770763
34.89468,,-13.00775116
36.94,,-8.256020786
21.75,-4.213256358,
48.644,,-9.931404041
