diameter,Vmb
20.8943,-27.6512
16.85182,-24.8687
17.9522,-38.0629
15.81813,-12.6591
16.685,-36.0233
17.898,-31.8666
47.85815,-64.2356
28.3176,-30.1532
27.809,-35.448
35.9224,-37.8978
45.165,-66.6443
19.834,-36.6047
44.7764,-64.7224
14.757,-27.73
13.931,-23.5497
52.453,-41.5927
51.6696,-70.6036
12.98,-13.7765
13.2332,-21.2947
12.8426,-13.3602
29.558,-35.9496
14.552,-23.9176
28.6135,-33.4719
28.939,-27.9965
42.1214,-46.1855
38.0734,-50.894
45.6251,-40.5334
32.331,-44.3579
15.914,-29.6715
14.8101,-17.6159
13.1974,-12.8629
13.8142,-28.7127
12.932,-26.156
40.572,-63.9074
54.017,-60.5297
48.668035,-62.139
46.63501,-56.5358
32.304,-64.9118
30.70914,-40.1527
28.058,-44.1673
50.894,-66.4523
23.668,-44.5118
26.5027,-61.7503
33.6962,-61.0072
13.4932,-15.7349
13.77507,-20.0947
18.357,-23.3023
13.8598,-20.0128
16.075,-32.605
17.508,-28.1563
15.4681,-20.9743
17.133,-17.0505
15.8032,-7.46767
19.3092,-30.4184
25.287,-26.058
20.9898,-17.5806
20.6981,-26.1146
25.1727,-34.6355
27.46594,-34.5788
24.40342,-32.2866
16.4175,-24.0605
15.2505,-19.858
14.7932,-33.8845
21.293,-25.8763
33.1477,-41.0572
27.17304,-31.697
28.24131,-35.265
16.7892,-20.6991
30.0213,-43.7045
35.80238,-47.5002
17.200437,-36.7772
42.2075,-51.5905
13.4814988,-29.7023
20.675819,-11.8331
13.6929,-34.5636
33.486228,-66.2916
32.1488,-36.1428
13.96108,-16.1112
63.418072,-63.6793
14.3442,-18.4592
14.446597,-15.0983
40.8927,-47.8463
18.93322,-23.3332
17.789533,-14.8782
17.935294,-17.5407
16.2745,-16.3127
25.38388,-33.1959
16.938,-15.5987
29.3386,-30.8958
27.109,-32.9023
19.86,-16.1432
21.75,-29.817
16.141,-27.6429
25.64,-43.7864
48.644,-54.025
